sedft,sedfv,Sepkoskit,Sepkoskiv,Rhodet,Rhodev
-195.0,1.4170844889428953,-196.08133086876157,706.2285803246821,-195.0,724.0
-196.0,1.4485606970444829,-197.08687615526804,650.86372238662,-196.0,724.0000000000001
-197.0,1.5224483806102551,-198.09242144177452,585.9816167402059,-197.0,621.0000000000001
-198.0,1.6200764409319997,-199.09796672828097,523.0545135760098,-198.0,621.0
-199.0,1.7164767476965062,-200.10351201478744,473.447483677743,-199.0,556.0
-200.0,1.7866811705905632,-201.10905730129392,442.09340287277877,-200.0,717.0
-201.0,1.8057215793009607,-202.1146025878004,427.5052781784031,-201.0,717.0000000000001
-202.0,1.7573826989760963,-203.12014787430687,427.91795464589416,-202.0,717.0000000000001
-203.0,1.660460676610802,-204.1256931608133,441.56627732652976,-203.0,717.0
-204.0,1.5425045146615193,-205.1312384473198,466.68509127158865,-204.0,824.0
-205.0,1.4310632155846879,-206.13678373382626,501.50924153234894,-205.0,824.0000000000001
-206.0,1.3481077827758483,-207.14232902033274,544.2735731600886,-206.0,824.0
-207.0,1.2932972233869409,-208.1478743068392,593.2129312060863,-207.0,824.0
-208.0,1.2607125455090058,-209.15341959334566,646.562160721618,-208.0,895.0000000000001
-209.0,1.2444347572330834,-210.15896487985214,702.5561067579652,-209.0,895.0000000000002
-210.0,1.238544866650213,-211.1645101663586,759.4296143664046,-210.0,895.0000000000001
-211.0,1.237123881851435,-212.17005545286509,815.4175285982147,-211.0,895.0
-212.0,1.234252810927789,-213.17560073937156,868.7546945046732,-212.0,895.0
-213.0,1.2240126619703156,-214.181146025878,917.6759571370571,-213.0,893.0
-214.0,1.203526621071496,-215.18669131238448,960.4161615466473,-214.0,893.0
-215.0,1.1820865863295797,-216.19223659889096,995.2101527847209,-215.0,893.0
-216.0,1.1720266338442573,-217.19778188539743,1020.4510892970593,-216.0,893.0000000000001
-217.0,1.185680839715221,-218.2033271719039,1036.2016578755517,-217.0,948.0000000000002
-218.0,1.2353832800421614,-219.20887245841035,1043.525713534648,-218.0,948.0000000000001
-219.0,1.3270013985843194,-220.21441774491683,1043.5006947205993,-219.0,948.0
-220.0,1.4405361097391376,-221.2199630314233,1037.2040398796566,-220.0,948.0000000000001
-221.0,1.5495216955636082,-222.22550831792978,1025.7131874580712,-221.0,948.0000000000001
-222.0,1.6274924381147247,-223.23105360443626,1010.1055759020937,-222.0,948.0000000000001
-223.0,1.6549124375561637,-224.2365988909427,991.4586436579765,-223.0,910.0
-224.0,1.639965066478347,-225.24214417744918,970.8498291719695,-224.0,910.0
-225.0,1.597763515578384,-226.24768946395565,949.3565708903238,-225.0,910.0
-226.0,1.5434209755533792,-227.25323475046213,928.0563072592913,-226.0,910.0000000000001
-227.0,1.4920506371004434,-228.2587800369686,908.0219784008196,-227.0,910.0000000000001
-228.0,1.4558756950781486,-229.26432532347505,889.8199096719942,-228.0,844.0000000000001
-229.0,1.4355593609909367,-230.26987060998152,873.0521484258874,-229.0,844.0
-230.0,1.4288748505047164,-231.275415896488,857.2126457350428,-230.0,844.0
-231.0,1.4335953792853948,-232.28096118299447,841.7953526720041,-231.0,844.0
-232.0,1.4474941629988805,-233.28650646950095,826.2942203093145,-232.0,844.0000000000001
-233.0,1.4668464625521507,-234.2920517560074,810.2031997195177,-233.0,704.0000000000001
-234.0,1.4819357198164576,-235.29759704251387,793.0162419751562,-234.0,704.0000000000001
-235.0,1.4839581045619126,-236.30314232902035,774.2272981487739,-235.0,704.0000000000002
-236.0,1.4737525171897938,-237.30868761552682,753.3372749331713,-236.0,704.0000000000001
-237.0,1.4545685407591713,-238.3142329020333,730.3560352131409,-237.0,630.0
-238.0,1.4296557583291105,-239.31977818853977,706.1400695658673,-238.0,630.0
-239.0,1.4022637529586826,-240.32532347504622,681.625890771079,-239.0,630.0
-240.0,1.375642107706955,-241.3308687615527,657.7500116085029,-240.0,581.0
-241.0,1.3525532326823821,-242.33641404805917,635.4489448578679,-241.0,581.0000000000001
-242.0,1.3338108461909592,-243.34195933456564,615.6592032989016,-242.0,581.0
-243.0,1.319741493588066,-244.34750462107212,599.317299711332,-243.0,485.0
