time (Ma),sedFlux (km3/yr),bioMar (Family Nb)
-400.0,2.5886414233146335,457.8223320061251
-399.0,2.611400669718138,455.34633999999994
-398.0,2.623742758140078,453.0403640419699
-397.0,2.627822563389293,450.8117659316092
-396.0,2.6257949602746242,448.4829
-395.0,2.619814823604911,446.0640747045762
-394.0,2.6115390971932264,444.3174150081788
-393.0,2.6006330008695775,444.193
-392.0,2.586263823468201,446.3009152878732
-391.0,2.567598853823333,449.8912725541943
-390.0,2.544608895231974,453.87419000000006
-389.0,2.5204788088421646,457.39222636615347
-388.0,2.499196970264702,460.5177025528222
-387.0,2.4847517551103895,463.55538000000007
-386.0,2.4811315389900255,466.7376992475134
-385.0,2.4923246975144133,470.0078172345174
-384.0,2.519798569614657,473.23657000000003
-383.0,2.554936347503089,476.35163664379337
-382.0,2.5866001867123463,479.5080685091082
-381.0,2.603652242775068,482.91775999999993
-380.0,2.5949546712238893,486.63755380694283
-379.0,2.553434214003193,490.1040857660867
-378.0,2.4882759587043273,492.59893999999997
-377.0,2.4127295793303816,493.6031544247315
-376.0,2.340044749884447,493.3955821302489
-375.0,2.2834711443696154,492.45453000000003
-374.0,2.2527964611912914,491.30228590153877
-373.0,2.243960496364126,490.6370616388438
-372.0,2.2494410703050853,491.20105
-371.0,2.2617160034311348,493.0793086357804
-370.0,2.2732631161592405,493.7283546477095
-369.0,2.2783108475722282,489.94757000000004
-368.0,2.2780901114163736,479.4721458516363
-367.0,2.275582440103811,463.7805101406889
-366.0,2.2737693660466762,445.2869
-365.0,2.2750232860570057,426.20477573545264
-364.0,2.2792800545464322,407.94449034509097
-363.0,2.2858663903264915,391.71562
-362.0,2.294109012208719,378.717396762109
-361.0,2.303334639004647,370.1076762567252
-360.0,2.3128699895258125,367.03397000000007
-359.0,2.3220417825837485,369.9847949938892
-358.0,2.3303855624728205,376.8126901835641
-357.0,2.3382721754187212,384.7112000000001
-356.0,2.3462812931299744,391.45248252159377
-355.0,2.3549925873150994,397.1231504164263
-354.0,2.3649857296826235,402.38843
-353.0,2.3769607841432783,407.81067491973624
-352.0,2.3920993834166406,413.5407481507312
-351.0,2.4117035524244956,419.62664000000007
-350.0,2.4370753160886314,425.9729344661284
-349.0,2.469516699330835,431.91059031398265
-348.0,2.5087555144779223,436.62716000000006
-347.0,2.5482227234768304,439.58728462315815
-346.0,2.579775075679524,441.36395985259765
-345.0,2.595269320437967,442.8072700000001
-344.0,2.586562207104128,444.58892222642476
-343.0,2.549005905915503,446.667115090442
-342.0,2.4919342706517194,448.82167000000004
-341.0,2.4281765759779383,450.8803472118841
-340.0,2.370562096559322,452.8626623782274
-339.0,2.331920107061029,454.83607000000006
-338.0,2.3216587900560097,456.8485089260393
-337.0,2.3355019597483726,458.8698553966489
-336.0,2.3657523382500125,460.85047
-335.0,2.4047126476728287,462.7672911580333
-334.0,2.4446856101287144,464.70356862776976
-333.0,2.4779739477295686,466.76912999999996
-332.0,2.499643133803249,468.9852716270128
-331.0,2.5158096465414626,471.0191649070872
-330.0,2.5331109543809553,472.44945
-329.0,2.549217481874765,472.9597201116934
-328.0,2.559557892605008,472.6533806327705
-327.0,2.5595608501538,471.73879000000005
-326.0,2.54604343822968,470.41771570399175
-325.0,2.5213764210468907,468.86556145071995
-324.0,2.4893189829461018,467.2511400000001
-323.0,2.453630308267982,465.7077492945623
-322.0,2.4180695813531985,464.2266280087947
-321.0,2.3863959865424205,462.7635000000001
-320.0,2.3623687081763163,461.2828497103521
-319.0,2.349746930595553,459.78420392150906
-318.0,2.3507419757126296,458.27585000000005
-317.0,2.3613737157273484,456.7665489010666
